"Conotoxia Pay","Cinkciarz Pay"
"Pay conveniently online with Conotoxia Pay","Zapłać wygodnie online z Cinkciarz Pay"
"Conotoxia Pay is an excellent tool for payments in 28 currencies, which will make shopping in your online store easier and more enjoyable. Your customers will pay quickly and conveniently. The transaction can be completed in just a few clicks.","Cinkciarz Pay to doskonałe narzędzie do obsługi płatności w 28 walutach, dzięki któremu zakupy w Twoim sklepie internetowym staną się łatwiejsze i przyjemniejsze. Twoi klienci zapłacą szybko i wygodnie. Do zrealizowania transakcji wystarczy kilka kliknięć."
"Online Transfer","Przelew online"
"Enable Conotoxia Pay","Włącz Cinkciarz Pay"
"Payment method icons","Ikony metod płatności"
"Payment method icon","Ikona metody płatności"
"Required Conotoxia Pay settings","Wymagane ustawienia Cinkciarz Pay"
"API Client identifier","Identyfikator klienta API"
"API Client secret","Hasło klienta API"
"Point of Sale ID","Identyfikator punktu płatności"
"Public key","Klucz publiczny"
"RSA public key that will be sent to Conotoxia Pay. This field is automatically generated based on the private key.","Klucz publiczny zostanie przesłany do Cinkciarz Pay. Pole to jest automatycznie generowane na podstawie klucza prywatnego."
"Private key","Klucz prywatny"
"The RSA private key that will be used to authenticate the communication.","Klucz prywatny będzie używany do uwierzytelnienia komunikacji."
"Generate new key","Wygeneruj nowy klucz"
"Wrong private key.","Błędny klucz prywatny."
"Generating...","Generuję..."
"Conotoxia Pay - Saved public key in Conotoxia Pay.","Cinkciarz Pay - Zapisano klucz publiczny w Cinkciarz Pay"
"Conotoxia Pay - Settings saved with errors. Check log files.","Cinkciarz Pay - Ustawienia zostały zapisane, lecz wystąpiły błędy. Sprawdź dziennik zdarzeń."
"Conotoxia Pay - Settings saved but some of the fields are missing.","Cinkciarz Pay - Ustawienia zostały zapisane, lecz niektóre pola są puste."
"Conotoxia Pay - Settings saved but there was a problem: Wrong private key.","Cinkciarz Pay - Ustawienia zostały zapisane, lecz wystąpił problem: Błędny klucz prywatny."
"Conotoxia Pay - Settings saved but there was a problem: Missing OpenSSL extension","Cinkciarz Pay - Ustawienia zostały zapisane, lecz wystąpił problem: Rozszerzenie OpenSSL nie jest dostępne."
"Remember to save configuration after generating keys.","Pamiętaj o zapisaniu konfiguracji po wygenerowaniu kluczy."
"Sort Order","Pozycja na liście"
"Order %1","Zamówienie %1"
"Conotoxia Pay: Payment has been created. Transaction ID: ""%1""","Cinkciarz Pay: Płatność została utworzona. ID transakcji: ""%1"""
"Conotoxia Pay: Payment has been cancelled. Transaction ID: ""%1""","Cinkciarz Pay: Płatność została anulowana. ID transakcji: ""%1"""
"Conotoxia Pay: Payment has been completed. Transaction ID: ""%1""","Cinkciarz Pay: Płatność została zrealizowana. ID transakcji: ""%1"""
"Conotoxia Pay Logo","Logo Cinkciarz Pay"
"Thank you for choosing Conotoxia Pay","Dziękujemy za wybranie Cinkciarz Pay"
"Payment number: %1","Numer płatności: %1"
"Status: Payment completed.","Status: Płatność zakończona sukcesem."
"Status: Payment pending.","Status: Płatność oczekująca."
"Status: Payment rejected.","Status: Płatność odrzucona."
"Status: Payment error.","Status: Błąd płatności."
"An unexpected error has occurred. Contact our store support.","Wystąpił błąd. Skontaktuj się z obsługą sklepu."
"Sandbox mode","Tryb testowy (Sandbox)"
"Logs","Logi"
"You can also request a refund in the","Możesz również zlecić zwrot w"
"To check the price list of refunds, go","Aby sprawdzić cennik zwrotów przejdź"
"Merchant's Panel","Panelu Sprzedawcy"
"here","tutaj"
"Conotoxia Pay: Refund has been cancelled. Transaction ID: ""%1""","Cinkciarz Pay: Zwrot został anulowany. ID transakcji: ""%1"""
"Conotoxia Pay: Refund has been completed. Transaction ID: ""%1""","Cinkciarz Pay: Zwrot został zrealizowany. ID transakcji: ""%1"""
"Conotoxia Pay: Refund has been created. Transaction ID: ""%1""","Cinkciarz Pay: Zwrot został utworzony. ID transakcji: ""%1"""
"Conotoxia Pay: Refund is being processed. Transaction ID: ""%1""","Cinkciarz Pay: Rozpoczął się proces przetwarzania zwrotu. ID transakcji: ""%1"""
"Conotoxia Pay: Refund has been suspended. Transaction ID: ""%1""","Cinkciarz Pay: Zwrot środków został zawieszony. ID transakcji: ""%1"""
"Refund for order %1","Zwrot dla zamówienia %1"
"https://fx.conotoxia.com/merchant/refunds/add","https://fx.cinkciarz.pl/merchant/refunds/add/"
"https://conotoxia.com/payments/for-partners/pricing","https://cinkciarz.pl/platnosci/dla-partnerow/cennik"
"Module version","Wersja modułu"
"No logs are currently available.","Brak dostępnych logów."
